,Unnamed: 0.1,Unnamed: 0,Escala,Referêcia,codibge,Anomalia,Município,SIGLA,AREA,Nome,Porcentagem
175,175,175,Mensal,mar./2022,4104204,-11.596865,Campo Largo,PR,1243.551,Campo Largo,-12.0%
176,176,176,Mensal,fev./2022,4104204,-55.21851,Campo Largo,PR,1243.551,Campo Largo,-55.0%
177,177,177,Mensal,jan./2022,4104253,-84.01179,Campo Magro,PR,275.352,Campo Magro,-84.0%
178,178,178,Mensal,mar./2022,4104253,-35.69735,Campo Magro,PR,275.352,Campo Magro,-36.0%
179,179,179,Mensal,fev./2022,4104253,-50.0079,Campo Magro,PR,275.352,Campo Magro,-50.0%
180,180,180,Mensal,jan./2022,4104303,-74.90936,Campo Mourão,PR,749.6369999999998,Campo Mourao,-75.0%
181,181,181,Mensal,mar./2022,4104303,-4.190457,Campo Mourão,PR,749.6369999999998,Campo Mourao,-4.0%
182,182,182,Mensal,fev./2022,4104303,-49.341335,Campo Mourão,PR,749.6369999999998,Campo Mourao,-49.0%
183,183,183,Mensal,jan./2022,4104402,-77.55355,Cândido de Abreu,PR,1510.16,Candido De Abreu,-78.0%
184,184,184,Mensal,mar./2022,4104402,5.6480584,Cândido de Abreu,PR,1510.16,Candido De Abreu,6.0%
185,185,185,Mensal,fev./2022,4104402,-58.197887,Cândido de Abreu,PR,1510.16,Candido De Abreu,-58.0%
186,186,186,Mensal,jan./2022,4104428,-78.87553,Candói,PR,1512.786,Candoi,-79.0%
187,187,187,Mensal,mar./2022,4104428,3.7858453,Candói,PR,1512.786,Candoi,4.0%
188,188,188,Mensal,fev./2022,4104428,-43.15661,Candói,PR,1512.786,Candoi,-43.0%
189,189,189,Mensal,jan./2022,4104451,-68.2586,Cantagalo,PR,583.304,Cantagalo,-68.0%
190,190,190,Mensal,mar./2022,4104451,-21.939127,Cantagalo,PR,583.304,Cantagalo,-22.0%
191,191,191,Mensal,fev./2022,4104451,-45.418613,Cantagalo,PR,583.304,Cantagalo,-45.0%
192,192,192,Mensal,jan./2022,4104501,-71.46649,Capanema,PR,419.036,Capanema,-71.0%
193,193,193,Mensal,mar./2022,4104501,-44.389668,Capanema,PR,419.036,Capanema,-44.0%
194,194,194,Mensal,fev./2022,4104501,-34.116833,Capanema,PR,419.036,Capanema,-34.0%
195,195,195,Mensal,jan./2022,4104600,-73.24363,Capitão Leônidas Marques,PR,277.48,Capitao Leonidas Marques,-73.0%
196,196,196,Mensal,mar./2022,4104600,-38.88583,Capitão Leônidas Marques,PR,277.48,Capitao Leonidas Marques,-39.0%
197,197,197,Mensal,fev./2022,4104600,-33.69521,Capitão Leônidas Marques,PR,277.48,Capitao Leonidas Marques,-34.0%
198,198,198,Mensal,jan./2022,4104659,-79.91297,Carambeí,PR,649.68,Carambei,-80.0%
199,199,199,Mensal,mar./2022,4104659,3.9251437,Carambeí,PR,649.68,Carambei,4.0%
200,200,200,Mensal,fev./2022,4104659,-56.01461,Carambeí,PR,649.68,Carambei,-56.0%
201,201,201,Mensal,jan./2022,4104709,-74.053566,Carlópolis,PR,451.418,Carlopolis,-74.0%
202,202,202,Mensal,mar./2022,4104709,-55.29171,Carlópolis,PR,451.418,Carlopolis,-55.0%
203,203,203,Mensal,fev./2022,4104709,-62.362183,Carlópolis,PR,451.418,Carlopolis,-62.0%
204,204,204,Mensal,jan./2022,4104808,-63.481533,Cascavel,PR,2091.199,Cascavel,-63.0%
205,205,205,Mensal,mar./2022,4104808,-0.6273279,Cascavel,PR,2091.199,Cascavel,-1.0%
206,206,206,Mensal,fev./2022,4104808,-42.616016,Cascavel,PR,2091.199,Cascavel,-43.0%
207,207,207,Mensal,jan./2022,4104907,-75.37652,Castro,PR,2531.503,Castro,-75.0%
208,208,208,Mensal,mar./2022,4104907,-1.2156365,Castro,PR,2531.503,Castro,-1.0%
209,209,209,Mensal,fev./2022,4104907,-52.914894,Castro,PR,2531.503,Castro,-53.0%
210,210,210,Mensal,jan./2022,4105003,-68.332924,Catanduvas,PR,580.421,Catanduvas,-68.0%
211,211,211,Mensal,mar./2022,4105003,42.380302,Catanduvas,PR,580.421,Catanduvas,42.0%
212,212,212,Mensal,fev./2022,4105003,-38.98345,Catanduvas,PR,580.421,Catanduvas,-39.0%
213,213,213,Mensal,jan./2022,4105102,-71.883705,Centenário do Sul,PR,371.834,Centenario Do Sul,-72.0%
214,214,214,Mensal,mar./2022,4105102,-5.330747,Centenário do Sul,PR,371.834,Centenario Do Sul,-5.0%
215,215,215,Mensal,fev./2022,4105102,-43.663338,Centenário do Sul,PR,371.834,Centenario Do Sul,-44.0%
216,216,216,Mensal,jan./2022,4105201,-76.54289,Cerro Azul,PR,1341.189,Cerro Azul,-77.0%
217,217,217,Mensal,mar./2022,4105201,-20.944515,Cerro Azul,PR,1341.189,Cerro Azul,-21.0%
218,218,218,Mensal,fev./2022,4105201,-60.19334,Cerro Azul,PR,1341.189,Cerro Azul,-60.0%
219,219,219,Mensal,jan./2022,4105300,-67.48575,Céu Azul,PR,1179.449,Ceu Azul,-67.0%
220,220,220,Mensal,mar./2022,4105300,-37.601917,Céu Azul,PR,1179.449,Ceu Azul,-38.0%
221,221,221,Mensal,fev./2022,4105300,-42.03841,Céu Azul,PR,1179.449,Ceu Azul,-42.0%
222,222,222,Mensal,jan./2022,4105409,-73.569984,Chopinzinho,PR,959.692,Chopinzinho,-74.0%
223,223,223,Mensal,mar./2022,4105409,13.238844,Chopinzinho,PR,959.692,Chopinzinho,13.0%
224,224,224,Mensal,fev./2022,4105409,-5.5126977,Chopinzinho,PR,959.692,Chopinzinho,-6.0%
225,225,225,Mensal,jan./2022,4105508,-85.39843,Cianorte,PR,811.666,Cianorte,-85.0%
226,226,226,Mensal,mar./2022,4105508,-8.75413,Cianorte,PR,811.666,Cianorte,-9.0%
227,227,227,Mensal,fev./2022,4105508,-67.79411,Cianorte,PR,811.666,Cianorte,-68.0%
228,228,228,Mensal,jan./2022,4105607,-81.699814,Cidade Gaúcha,PR,403.045,Cidade Gaucha,-82.0%
229,229,229,Mensal,mar./2022,4105607,-51.046715,Cidade Gaúcha,PR,403.045,Cidade Gaucha,-51.0%
230,230,230,Mensal,fev./2022,4105607,-57.472187,Cidade Gaúcha,PR,403.045,Cidade Gaucha,-57.0%
231,231,231,Mensal,jan./2022,4105706,-86.65015,Clevelândia,PR,703.638,Clevelandia,-87.0%
232,232,232,Mensal,mar./2022,4105706,-30.171469,Clevelândia,PR,703.638,Clevelandia,-30.0%
233,233,233,Mensal,fev./2022,4105706,-54.625923,Clevelândia,PR,703.638,Clevelandia,-55.0%
234,234,234,Mensal,jan./2022,4105805,-92.26062,Colombo,PR,197.793,Colombo,-92.0%
